observer;date;weeknr;time;after_sunrise;area;visitordensity;species;size;herb_cover;shrub_cover;tree_cover;temp;wind;rain;FID
EB;3-20-2009;11;7:40;55;nature;10;Columba palumbus;8.04;0.17;0.07;0.08;8;6;0.0;15.2
EB;4-10-2009;14;9:14;135;nature;10;Turdus merula;4.46;0.14;0.24;0.44;11;2;0.0;15.2
SS;3-20-2009;11;9:40;175;nature;10;Columba palumbus;8.04;0.10;0.20;0.21;10;6;0.0;15.1
SS;3-17-2009;11;11:21;269;urban;10000;Columba palumbus;8.04;0.12;0.08;0.15;11;6;0.0;15.0
EB;3-26-2009;12;15:53;561;rural;100;Columba palumbus;8.04;0.20;0.11;0.19;8;4;0.3;15.0
EB;3-28-2009;13;9:22;175;nature;10;Turdus merula;4.46;0.22;0.30;0.19;7;4;0.3;15.0
CJ;3-25-2009;12;12:19;345;urban;10000;Turdus philomelos;4.08;0.14;0.27;0.24;10;4;0.3;14.9
EB;4-3-2009;13;12:40;326;rural;100;Columba palumbus;8.04;0.23;0.21;0.12;20;5;0.2;14.9
SS;3-28-2009;13;12:30;363;nature;10;Turdus merula;4.46;0.08;0.29;0.27;10;4;0.3;14.9
CJ;5-10-2009;19;7:13;72;nature;10;Columba palumbus;8.04;0.18;0.56;0.42;17;1;0.0;14.9
SS;3-17-2009;11;11:27;275;urban;10000;Columba palumbus;8.04;0.12;0.17;0.15;11;6;0.0;14.8
SS;3-17-2009;11;13:48;416;urban;10000;Columba palumbus;8.04;0.10;0.17;0.05;12;6;0.0;14.8
EB;5-1-2009;17;7:16;59;nature;10;Turdus merula;4.46;0.23;0.30;0.51;13;0;0.4;14.7
SS;4-3-2009;13;10:50;216;rural;100;Turdus merula;4.46;0.04;0.18;0.37;17;5;0.2;14.6
SS;4-8-2009;14;9:49;166;rural;100;Columba palumbus;8.04;0.32;0.20;0.41;11;2;0.0;14.6
SS;3-19-2009;11;13:18;390;suburb;1000;Turdus philomelos;4.08;0.05;0.22;0.15;12;6;0.0;14.6
CJ;4-20-2009;16;9:23;165;nature;10;Turdus merula;4.46;0.15;0.17;0.40;6;5;0.1;14.5
EB;5-10-2009;19;11:38;337;nature;10;Columba palumbus;8.04;0.28;0.39;0.70;24;1;0.0;14.5
CJ;3-28-2009;13;8:30;123;nature;10;Pica pica;6.02;0.17;0.12;0.18;7;4;0.3;14.4
SS;3-27-2009;12;12:41;371;suburb;1000;Columba palumbus;8.04;0.17;0.33;0.11;10;4;0.3;14.2
SS;4-4-2009;14;14:34;442;suburb;1000;Columba palumbus;8.04;0.08;0.23;0.35;18;5;0.2;14.1
SS;3-28-2009;13;8:45;138;nature;10;Turdus merula;4.46;0.05;0.25;0.19;7;4;0.3;14.0
EB;3-18-2009;11;11:42;292;rural;100;Columba palumbus;8.04;0.17;0.13;0.04;11;6;0.0;13.9
SS;4-7-2009;14;8:34;89;urban;10000;Pica pica;6.02;0.07;0.21;0.12;10;2;0.0;13.8
SS;4-8-2009;14;15:06;483;rural;100;Turdus merula;4.46;0.06;0.25;0.26;14;2;0.0;13.8
